NO,stock,name,sector
1,060310,3S,032602
2,095570,AJ네트웍스,147603
3,068400,AJ렌터카,147601
4,006840,AK홀딩스,116409
5,054620,APS홀딩스,116409
6,265520,AP시스템,032902
7,211270,AP위성,032604
8,027410,BGF리테일,074701
9,138930,BNK금융지주,116409
10,001460,BYC,031401
11,032040,C&S자산관리,147509
12,001040,CJ,116409
13,079160,CJ CGV,105901
14,130960,CJ E&M,106002
15,000120,CJ대한통운,084903
16,011150,CJ씨푸드,031007
17,035760,CJ오쇼핑,106002
18,097950,CJ제일제당,031007
19,051500,CJ프레시웨이,074603
20,037560,CJ헬로비전,106002
21,058820,CMG제약,032102
22,023460,CNH,116402
23,065770,CS,032604
24,083660,CSA 코스믹,032202
25,000590,CS홀딩스,116409
26,139130,DGB금융지주,116409
27,068790,DMS,032902
28,004840,DRB동일,116409
29,241520,DSC인베스트먼트,116402
30,155660,DSR,032402
31,069730,DSR제강,032401
32,017940,E1,074607
33,037370,EG,074607
34,079190,EMW,032604
35,007700,F&F,031401
36,130500,GH신소재,031309
37,114090,GKL,189102
38,032860,GMR 머티리얼즈,053803
39,900290,GRT,116409
40,078930,GS,116409
41,083450,GST,032902
42,006360,GS건설,064101
43,001250,GS글로벌,074608
44,007070,GS리테일,074701
45,028150,GS홈쇼핑,106002
46,078150,HB테크놀러지,032902
47,036640,HRS,032002
48,225430,IBKS제3호스팩,116601
49,254120,IBKS제5호스팩,116601
50,264850,IBKS제6호스팩,116601
51,252500,IBKS지엠비스팩,116601
52,095340,ISC,032602
53,099520,ITX엠투엠,032605
54,175330,JB금융지주,116409
55,234080,JW생명과학,032102
56,067290,JW신약,032102
57,001060,JW중외제약,032102
58,096760,JW홀딩스,116409
59,035900,JYP Ent.,105902
60,105560,KB금융,116409
61,024120,KB오토시스,033003
62,021320,KCC건설,064101
63,036670,KCI,032004
64,009440,KC그린홀딩스,116409
65,112190,KC산업,032303
66,119650,KC코트렐,032901
67,044180,KD건설,064101
68,092220,KEC,032601
69,151860,KG ETS,053802
70,109070,KGP,031702
71,046440,KG모빌리언스,105802
72,035600,KG이니시스,105802
73,001390,KG케미칼,032001
74,060720,KH바텍,032602
75,001940,KISCO홀딩스,116409
76,083470,KJ프리텍,032202
77,122450,KMH,106002
78,052900,KMH하이텍,032202
79,058400,KNN,106002
80,083420,KPX그린케미칼,032004
81,114450,KPX생명과학,032101
82,025000,KPX케미칼,032001
83,092230,KPX홀딩스,116409
84,000040,KR모터스,033109
85,044450,KSS해운,085001
86,030210,KTB투자증권,116601
87,036030,KTH,106102
88,058850,KTcs,106309
89,060370,KT서브마린,064203
90,093050,LF,031401
91,003550,LG,116409
92,034220,LG디스플레이,032602
93,001120,LG상사,074601
94,051900,LG생활건강,032004
95,032640,LG유플러스,106102
96,011070,LG이노텍,032602
97,066570,LG전자,032604
98,108670,LG하우시스,032202
99,051910,LG화학,032001
100,079550,LIG넥스원,032502
101,006260,LS,116409
102,000680,LS네트웍스,074608
103,010120,LS산전,032801
104,229640,LS전선아시아,116409
105,086960,MDS테크,105802
106,023150,MH에탄올,031101
107,065150,MP그룹,074603
108,219550,MP한강,074604
109,035420,NAVER,106301
110,160550,NEW,105901
111,104200,NHN벅스,106309
112,181710,NHN엔터테인먼트,105802
113,060250,NHN한국사이버결제,106309
114,005940,NH투자증권,116601
115,034310,NICE,116409
116,030190,NICE평가정보,106309
117,008260,NI스틸,032401
118,010060,OCI,032001
119,024940,PN풍년,032509
120,091340,S&K폴리텍,032602
121,100840,S&TC,032901
122,064960,S&T모티브,033003
123,003570,S&T중공업,033003
124,036530,S&T홀딩스,116409
125,010950,S-Oil,031902
126,019550,SBI인베스트먼트,116402
127,950110,SBI핀테크솔루션즈,105802
128,034120,SBS,106002
129,101060,SBS미디어홀딩스,116409
130,046140,SBS콘텐츠허브,105901
